Ref : 1573035,complete house with all facilities in yala,Date : 15 Jun 2018 - 10:21 pm,Sell,House & Property,Houses,Hambantota-Yala,Negotiable
Ref : 1572996,house for rent in mattegoda,Date : 15 Jun 2018 - 05:22 pm,Rent,House & Property,Houses,Colombo-Mattegoda,"Rs. 32,000"
Ref : 1572998,house for sale in battaramulla,Date : 15 Jun 2018 - 05:22 pm,Sell,House & Property,Houses,Colombo-Battaramulla,"Rs. 75,000,000"
Ref : 1573001,two story house,Date : 15 Jun 2018 - 05:21 pm,Sell,House & Property,Houses,Galle-Galle,"Rs. 24,000,000"
Ref : 1572967,house for rent in horana,Date : 15 Jun 2018 - 03:12 pm,Rent,House & Property,Houses,Kalutara-Horana,"Rs. 20,000"
Ref : 1572962,house for rent at soysa pura,Date : 15 Jun 2018 - 02:58 pm,Rent,House & Property,Houses,Colombo-Ratmalana,"Rs. 25,000"
Ref : 1572980,27 perch land with a house for sale at panadura,Date : 15 Jun 2018 - 02:57 pm,Sell,House & Property,Houses,Kalutara-Panadura,"Rs. 81,000,000"
Ref : 1572982,2 houses with land,Date : 15 Jun 2018 - 02:57 pm,Sell,House & Property,Houses,Colombo-Colombo 9 (Dematagoda),Negotiable
Ref : 1572940,house for sale,Date : 15 Jun 2018 - 12:50 pm,Sell,House & Property,Houses,Gampaha-Negombo,"Rs. 13,500,000"
Ref : 1572887,hitthetiya east house for rent,Date : 15 Jun 2018 - 12:45 pm,Rent,House & Property,Houses,Matara,"Rs. 20,000"
Ref : 1572866,elpitiya land,Date : 15 Jun 2018 - 12:43 pm,Sell,House & Property,Houses,Galle-Elpitiya,"Rs. 6,000,000"
Ref : 1572868,super house for sale at enderemulla,Date : 15 Jun 2018 - 12:43 pm,Sell,House & Property,Houses,Gampaha-Ragama,"Rs. 7,100,000"
Ref : 1572923,4 bed rooms 2 sto.house for rent,Date : 15 Jun 2018 - 12:43 pm,Rent,House & Property,Houses,Gampaha-Mahabage,"Rs. 35,000"
Ref : 1572926,5 bed rooms house for rent mabole,Date : 15 Jun 2018 - 12:42 pm,Rent,House & Property,Houses,Gampaha-Mabodale,"Rs. 50,000"
Ref : 1572918,house for rent in malabe,Date : 15 Jun 2018 - 12:41 pm,Rent,House & Property,Houses,Colombo-Malabe,"Rs. 35,000"
Ref : 1572930,4 bed rooms house for rent walisara,Date : 15 Jun 2018 - 12:40 pm,Rent,House & Property,Houses,Gampaha-Mahabage,"Rs. 450,000"
Ref : 1572857,house for sale in matale yatawatte,Date : 15 Jun 2018 - 09:17 am,Sell,House & Property,Houses,Matale-Yatawatta,"Rs. 45,000,000"
Ref : 1572852,house for sale close to borella,Date : 15 Jun 2018 - 09:16 am,Sell,House & Property,Houses,Colombo-Rajagiriya,"Rs. 20,000,000"
Ref : 1572853,house for sale close to borella,Date : 15 Jun 2018 - 09:16 am,Sell,House & Property,Houses,Colombo-Rajagiriya,"Rs. 20,000,000"
Ref : 1572849,newly built high quality constructed unique and beautiful house for sale,Date : 15 Jun 2018 - 09:15 am,Sell,House & Property,Houses,Kurunegala-Kurunegala,"Rs. 16,500,000"
Ref : 1572840,house for rent at soysa pura,Date : 15 Jun 2018 - 09:14 am,Rent,House & Property,Houses,Colombo-Ratmalana,"Rs. 25,000"
Ref : 1572841,house for rent at soysa pura,Date : 15 Jun 2018 - 09:14 am,Rent,House & Property,Houses,Colombo-Ratmalana,"Rs. 25,000"
Ref : 1572834,house for sale in peliyagoda,Date : 15 Jun 2018 - 09:13 am,Sell,House & Property,Houses,Gampaha-Peliyagoda,"Rs. 15,000,000"
Ref : 1572833,house in ragama for sale,Date : 15 Jun 2018 - 09:13 am,Sell,House & Property,Houses,Gampaha-Ragama,"Rs. 29,000,000"
Ref : 1572822,house for rent in galle,Date : 15 Jun 2018 - 09:13 am,Rent,House & Property,Houses,Galle-Galle,"Rs. 21,000"
Ref : 1572824,"wanted independent house on rent - rs. 80,000 per month for foreigners",Date : 15 Jun 2018 - 09:13 am,Wanted,House & Property,Houses,,"Rs. 80,000"
Ref : 1572826,land with upstair house for sale,Date : 15 Jun 2018 - 09:12 am,Sell,House & Property,Houses,Kalutara-Panadura,"Rs. 12,000,000"
Ref : 1572827,galle pilana house for rent,Date : 15 Jun 2018 - 09:12 am,Rent,House & Property,Houses,,"Rs. 80,000"
Ref : 1572814,new big house for rent,Date : 15 Jun 2018 - 09:11 am,Rent,House & Property,Houses,Colombo-Maharagama,"Rs. 30,000"
Ref : 1572628,4bbed rooms house for rent,Date : 14 Jun 2018 - 09:12 am,Rent,House & Property,Houses,Gampaha-Kandana,Negotiable
Ref : 1391402,house for rent in boralasgamuwa,Date : 14 Jun 2018 - 09:03 am,Rent,House & Property,Houses,Colombo-Boralesgamuwa / Boralasgamuwa,"Rs. 18,000"
Ref : 1396772,house for rent in boralasgamuwa,Date : 14 Jun 2018 - 09:02 am,Rent,House & Property,Houses,Colombo-Boralesgamuwa / Boralasgamuwa,"Rs. 23,000"
